Team cape i,1415544<07:34, May 9, 2017 (UTC)>
Team cape x,1514885<07:34, May 9, 2017 (UTC)>
Team cape zero,2909533<07:34, May 9, 2017 (UTC)>
Fancy tiara,55985<04:58, May 9, 2017 (UTC)>
Elder chaos top,633158<04:50, May 9, 2017 (UTC)>
Elder chaos robe,375856<04:50, May 9, 2017 (UTC)>
Evil chicken head,620066<04:56, May 9, 2017 (UTC)>
Evil chicken wings,746485<04:56, May 9, 2017 (UTC)>
Evil chicken feet,721182<04:56, May 9, 2017 (UTC)>
Evil chicken legs,620966<04:56, May 9, 2017 (UTC)>
Stale baguette,201689<07:16, May 9, 2017 (UTC)>
Elder chaos hood,746972<04:50, May 9, 2017 (UTC)>
Burnt page,5813<04:20, May 9, 2017 (UTC)>
Tome of fire (empty),275337<07:41, May 9, 2017 (UTC)>
Dust battlestaff,51398<04:47, May 9, 2017 (UTC)>
Mystic dust staff,99204<06:10, May 9, 2017 (UTC)>
Mist battlestaff,127550<05:57, May 9, 2017 (UTC)>
Mystic mist staff,185214<06:10, May 9, 2017 (UTC)>
Leaf-bladed battleaxe,83809<05:43, May 9, 2017 (UTC)>
Imbued heart,39677200<05:26, May 9, 2017 (UTC)>
Zamorak's grapes,3970<08:08, May 9, 2017 (UTC)>
Hill giant club,966318<05:25, May 9, 2017 (UTC)>
Bird nest,6448<03:51, May 9, 2017 (UTC)>
Snake hide (swamp),819<07:11, May 9, 2017 (UTC)>
Dexterous prayer scroll,108333187<04:38, May 9, 2017 (UTC)>
Dragon claws,131709482<04:42, May 9, 2017 (UTC)>
Ancestral hat,46556007<03:29, May 9, 2017 (UTC)>
Ancestral robe top,171055799<03:29, May 9, 2017 (UTC)>
Ancestral robe bottom,114868796<03:29, May 9, 2017 (UTC)>
Kodai wand,100538828<05:41, May 9, 2017 (UTC)>
Elder maul,66676483<04:50, May 9, 2017 (UTC)>
Dragon sword,1599562<04:46, May 9, 2017 (UTC)>
Twisted bow,1230375637<07:46, May 9, 2017 (UTC)>
Twisted buckler,29628875<07:46, May 9, 2017 (UTC)>
Dragon thrownaxe,33712<04:46, May 9, 2017 (UTC)>
Dragon harpoon,7048120<04:43, May 9, 2017 (UTC)>
Dragon hunter crossbow,31495527<04:44, May 9, 2017 (UTC)>
Dinh's bulwark,17814085<04:40, May 9, 2017 (UTC)>
Kodai insignia,87998096<05:41, May 9, 2017 (UTC)>
Torn prayer scroll,48863<07:43, May 9, 2017 (UTC)>
Ancestral robes set,343159736<03:29, May 9, 2017 (UTC)>
Arcane prayer scroll,29076945<03:36, May 9, 2017 (UTC)>
Dodgy necklace,1043<04:40, May 9, 2017 (UTC)>
Efaritay's aid,1429<06:20, May 9, 2017 (UTC)>
Opal necklace,1806<06:20, May 9, 2017 (UTC)>
Opal amulet (u),450<06:19, May 9, 2017 (UTC)>
Opal ring,1902<06:20, May 9, 2017 (UTC)>
Expeditious bracelet,1175<04:56, May 9, 2017 (UTC)>
Amulet of bounty,397<03:27, May 9, 2017 (UTC)>
Jade necklace,1907<05:36, May 9, 2017 (UTC)>
Jade amulet (u),499<05:36, May 9, 2017 (UTC)>
Jade ring,1906<05:36, May 9, 2017 (UTC)>
Necklace of passage(5),1178<06:13, May 9, 2017 (UTC)>
Amulet of chemistry,811<03:27, May 9, 2017 (UTC)>
Topaz necklace,1917<07:42, May 9, 2017 (UTC)>
Topaz amulet,1256<07:42, May 9, 2017 (UTC)>
Topaz ring,1847<07:42, May 9, 2017 (UTC)>
Topaz bracelet,959<07:42, May 9, 2017 (UTC)>
Bracelet of slaughter,1607<04:09, May 9, 2017 (UTC)>
Necklace of faith,1494<06:12, May 9, 2017 (UTC)>
Burning amulet(5),2050<04:20, May 9, 2017 (UTC)>
Jade bracelet,577<05:36, May 9, 2017 (UTC)>
Lava staff upgrade kit,87063<05:43, May 9, 2017 (UTC)>
Mysterious emblem,87662<06:09, May 9, 2017 (UTC)>
Dragon bitter (flatpack),114<04:41, May 9, 2017 (UTC)>
Asgarnian ale (flatpack),21435<03:40, May 9, 2017 (UTC)>
Greenman's ale (flatpack),3973<05:15, May 9, 2017 (UTC)>
Chef's delight (flatpack),40115<04:25, May 9, 2017 (UTC)>
Slayer's enchantment,19669<07:10, May 9, 2017 (UTC)>
Eternal gem,629520<04:56, May 9, 2017 (UTC)>
